,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
59,60,🇨🇾,Marilena Kitromilis,0,3,0,0,0,168.26n=3,83.67n=3,88.24n=3,81.69n=3,5.73n=33,3.00n=21,3.32n=7,3.93n=3,6.61n=6,6.37n=6,6.63n=6,6.63n=6,6.58n=6
60,61,🇰🇷,Heesue Han,1,0,0,0,0,168.25n=1,81.73n=1,89.77n=1,79.48n=1,5.92n=10,3.73n=6,4.10n=2,-n=0,6.77n=2,6.44n=2,6.69n=2,6.66n=2,6.64n=2
61,62,🇺🇸,Gabriella Izzo,0,2,0,1,0,167.93n=3,76.77n=3,82.23n=3,86.70n=3,4.64n=30,4.00n=18,3.74n=6,4.30n=3,7.24n=6,7.01n=6,7.20n=6,7.28n=6,7.31n=6
62,63,🇳🇱,Lindsay Van Zundert,0,2,0,0,0,167.38n=2,86.32n=2,89.24n=2,80.64n=2,5.37n=23,3.67n=15,3.81n=5,3.18n=2,6.55n=4,6.33n=4,6.61n=4,6.68n=4,6.62n=4
63,64,🇪🇪,Eva Lotta Kiibus,0,3,1,1,0,167.14n=5,79.15n=5,83.11n=5,85.03n=5,5.05n=50,3.40n=30,4.20n=10,3.79n=5,7.02n=10,6.81n=10,7.02n=10,7.20n=10,7.23n=10
64,65,🇺🇸,Starr Andrews,0,2,1,1,0,165.81n=4,78.34n=4,80.94n=4,85.87n=4,4.67n=40,3.75n=24,3.91n=8,3.90n=4,7.24n=8,7.08n=8,7.16n=8,7.33n=8,7.29n=8
65,66,🇨🇦,Gabrielle Daleman,0,2,0,1,0,165.41n=3,81.12n=3,80.11n=3,86.64n=3,4.54n=30,3.79n=18,3.81n=6,4.40n=3,7.37n=6,7.00n=6,7.08n=6,7.36n=6,7.31n=6
66,67,🇫🇮,Emmi Peltonen,0,2,0,0,0,165.08n=2,69.92n=2,73.46n=2,91.62n=2,4.53n=20,2.64n=12,4.00n=4,4.30n=2,7.59n=4,7.35n=4,7.50n=4,7.70n=4,7.85n=4
67,68,🇫🇮,Jenni Saarinen,0,2,0,1,0,164.63n=3,72.67n=3,77.56n=3,89.40n=3,4.46n=30,3.37n=18,4.42n=6,3.92n=3,7.48n=6,7.39n=6,7.38n=6,7.62n=6,7.66n=6
68,69,🇰🇷,Ahsun Yun,2,0,0,0,0,163.74n=2,80.48n=2,88.95n=2,75.79n=2,6.03n=20,3.45n=12,3.97n=4,-n=0,6.48n=4,6.09n=4,6.23n=4,6.30n=4,6.20n=4
69,70,🇮🇹,Lara Naki Gutmann,0,2,1,1,0,163.54n=4,78.58n=4,81.89n=4,82.14n=4,4.97n=40,3.45n=24,3.77n=8,4.00n=4,6.86n=8,6.70n=8,6.76n=8,6.98n=8,6.86n=8
70,71,🇦🇹,Olga Mikutina,0,0,1,1,0,162.55n=2,76.14n=2,77.76n=2,86.30n=2,4.29n=20,3.79n=12,4.12n=4,3.90n=2,7.20n=4,7.10n=4,7.13n=4,7.32n=4,7.27n=4
71,72,🇦🇺,Kailani Craine,0,3,0,1,0,162.40n=4,81.38n=4,81.29n=4,81.11n=4,5.11n=40,3.47n=24,3.14n=8,3.12n=4,6.82n=8,6.46n=8,6.86n=8,6.86n=8,6.92n=8
72,73,🇨🇭,Yasmine Kimiko Yamada,0,1,0,1,0,162.28n=2,80.73n=2,84.38n=2,78.91n=2,5.48n=20,3.05n=12,3.76n=4,3.78n=2,6.64n=4,6.28n=4,6.62n=4,6.60n=4,6.60n=4
73,74,🇫🇷,Léa Serna,0,2,1,1,0,161.13n=4,81.18n=4,81.80n=4,80.83n=4,4.70n=40,3.77n=24,4.15n=8,3.86n=4,6.86n=8,6.48n=8,6.69n=8,6.81n=8,6.79n=8
74,75,🇸🇪,Josefin Taljegård,0,3,0,1,0,159.48n=4,72.84n=4,76.31n=4,83.42n=4,4.08n=40,3.65n=24,4.62n=8,4.40n=4,6.76n=8,6.66n=8,7.06n=8,7.09n=8,7.24n=8
75,76,🇺🇸,Hanna Harrell,0,1,0,0,0,158.89n=1,75.08n=1,76.21n=1,82.68n=1,4.58n=10,3.24n=6,3.40n=2,4.20n=1,6.82n=2,6.62n=2,6.85n=2,7.00n=2,7.05n=2
76,77,🇬🇧,Natasha Mckay,0,3,0,1,0,157.52n=4,73.52n=4,77.80n=4,81.22n=4,4.46n=40,3.44n=24,4.31n=8,3.88n=4,6.66n=8,6.50n=8,6.76n=8,6.79n=8,6.98n=8
77,78,🇰🇷,Siwoo Song,1,0,0,0,0,157.01n=1,78.23n=1,84.08n=1,73.93n=1,5.86n=10,3.38n=6,2.61n=2,-n=0,6.16n=2,6.10n=2,6.16n=2,6.25n=2,6.12n=2
78,79,🇫🇮,Oona Ounasvuori,0,3,0,0,0,155.86n=3,75.79n=3,77.36n=3,79.16n=3,4.63n=33,3.30n=21,3.33n=7,3.63n=3,6.62n=6,6.25n=6,6.52n=6,6.61n=6,6.64n=6
79,80,🇺🇸,Mia Kalin,2,0,0,0,0,155.48n=2,88.56n=2,83.56n=2,72.92n=2,5.87n=20,3.03n=12,3.33n=4,-n=0,6.16n=4,5.86n=4,6.16n=4,6.10n=4,6.14n=4
80,81,🇰🇷,Chaebin Hwang,1,0,0,0,0,155.32n=1,78.79n=1,82.86n=1,73.46n=1,5.58n=10,3.51n=6,3.00n=2,-n=0,6.09n=2,5.91n=2,6.06n=2,6.08n=2,6.06n=2
81,82,🇨🇭,Kimmy Repond,1,0,0,0,0,155.06n=1,87.57n=1,84.64n=1,71.42n=1,5.76n=10,3.37n=6,3.42n=2,-n=0,6.00n=2,5.62n=2,6.04n=2,5.84n=2,6.00n=2
82,83,🇨🇦,Emily Bausback,0,2,1,0,0,154.50n=3,77.92n=3,78.27n=3,77.89n=3,4.67n=30,3.51n=18,3.65n=6,3.17n=3,6.70n=6,6.28n=6,6.54n=6,6.57n=6,6.51n=6
83,84,🇰🇷,Siwon Lee,0,1,0,0,0,153.70n=1,70.81n=1,72.66n=1,82.04n=1,3.80n=10,3.63n=6,4.46n=2,4.00n=1,6.82n=2,6.60n=2,6.78n=2,6.85n=2,6.90n=2
84,85,🇭🇺,Vivien Papp,2,0,0,0,0,153.23n=2,76.79n=2,78.26n=2,75.48n=2,4.97n=20,3.52n=12,3.73n=4,-n=0,6.18n=4,6.10n=4,6.43n=4,6.27n=4,6.38n=4
85,86,🇫🇷,Maïa Mazzara,0,2,0,0,1,152.68n=2,83.94n=2,80.90n=2,74.78n=2,4.89n=23,3.02n=15,2.63n=5,3.50n=2,6.21n=4,5.80n=4,5.82n=4,6.01n=4,6.00n=4
86,87,🇨🇦,Véronik Mallet,0,0,0,1,0,151.87n=1,70.43n=1,74.58n=1,78.29n=1,4.21n=10,3.82n=6,3.16n=2,3.21n=1,6.68n=2,6.32n=2,6.56n=2,6.59n=2,6.64n=2
87,88,🇨🇾,Emilea Zingas,0,3,0,0,0,151.67n=3,71.81n=3,72.28n=3,80.05n=3,4.44n=30,2.80n=18,3.62n=6,3.86n=3,6.62n=6,6.39n=6,6.62n=6,6.77n=6,6.88n=6
88,89,🇹🇼,Tzu-Han Ting,0,1,0,1,0,151.39n=2,81.56n=2,79.12n=2,74.26n=2,4.60n=20,3.62n=12,3.86n=4,3.64n=2,6.23n=4,5.96n=4,6.25n=4,6.23n=4,6.24n=4
89,90,🇪🇪,Kristina Shkuleta-Gromova,0,3,0,0,0,151.34n=3,76.07n=3,76.64n=3,74.69n=3,4.52n=30,3.51n=18,3.39n=6,3.63n=3,6.18n=6,5.91n=6,6.19n=6,6.24n=6,6.20n=6
90,91,🇧🇬,Alexandra Feigin,0,1,0,1,0,151.04n=2,76.98n=2,75.16n=2,76.38n=2,4.52n=20,3.30n=12,3.42n=4,3.32n=2,6.49n=4,6.22n=4,6.44n=4,6.52n=4,6.43n=4
91,92,🇺🇸,Maryn Pierce,1,0,0,0,0,150.67n=1,74.14n=1,73.48n=1,79.19n=1,4.62n=10,3.29n=6,3.78n=2,-n=0,6.62n=2,6.36n=2,6.58n=2,6.60n=2,6.80n=2
92,93,🇨🇭,Anna La Porta,1,0,0,0,0,150.25n=1,78.04n=1,78.58n=1,72.67n=1,5.28n=10,3.32n=6,2.95n=2,-n=0,6.06n=2,5.77n=2,6.14n=2,6.06n=2,6.10n=2
93,94,🇯🇵,Tomoe Kawabata,0,1,0,0,0,149.96n=1,64.32n=1,64.44n=1,85.52n=1,3.04n=10,3.65n=6,4.30n=2,3.50n=1,7.40n=2,7.15n=2,6.85n=2,7.22n=2,7.25n=2
