,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
57,58,🇫🇷,Luc Economides,0,1,0,0,0,207.69n=1,98.53n=1,99.31n=1,110.38n=1,6.93n=10,3.26n=6,3.47n=2,3.50n=1,7.23n=2,6.96n=2,7.48n=2,7.58n=2,7.73n=2
58,59,🇪🇪,Arlet Levandi,2,3,0,1,0,206.82n=6,92.50n=6,102.11n=6,104.88n=6,6.69n=60,3.74n=36,4.97n=12,4.23n=4,6.81n=12,6.67n=12,6.99n=12,7.04n=12,7.08n=12
59,60,🇫🇷,Landry Le May,0,1,0,0,0,206.64n=1,104.00n=1,105.59n=1,101.05n=1,7.69n=10,2.99n=6,3.54n=2,3.70n=1,6.85n=2,6.48n=2,6.80n=2,6.78n=2,6.78n=2
60,61,🇨🇦,Stephen Gogolev,0,1,0,0,0,206.17n=1,98.51n=1,99.82n=1,108.35n=1,7.69n=10,2.17n=6,3.13n=2,3.60n=1,7.35n=2,7.02n=2,7.18n=2,7.28n=2,7.25n=2
61,62,🇮🇹,Gabriele Frangipani,0,2,2,1,0,205.89n=5,105.85n=5,101.39n=5,106.70n=5,7.21n=50,3.14n=30,3.77n=10,2.93n=5,7.16n=10,6.90n=10,7.07n=10,7.20n=10,7.21n=10
62,63,🇮🇹,Nikolaj Memola,1,1,0,1,0,205.25n=3,100.18n=3,101.39n=3,104.19n=3,7.15n=30,3.30n=18,3.86n=6,3.56n=2,6.81n=6,6.63n=6,6.98n=6,6.94n=6,7.12n=6
63,64,🇪🇪,Mihhail Selevko,2,3,0,0,0,205.18n=5,99.33n=5,102.04n=5,104.94n=5,6.89n=50,3.75n=30,4.16n=10,3.83n=3,7.07n=10,6.79n=10,6.97n=10,7.07n=10,7.04n=10
64,65,🇺🇦,Ivan Shmuratko,0,2,0,1,0,204.69n=3,99.22n=3,97.07n=3,108.95n=3,6.44n=30,3.66n=18,3.56n=6,3.56n=3,7.36n=6,7.05n=6,7.25n=6,7.33n=6,7.39n=6
65,66,🇩🇪,Nikita Starostin,0,3,0,1,0,204.18n=4,102.07n=4,101.52n=4,103.90n=4,6.81n=40,3.64n=24,4.13n=8,3.36n=4,6.86n=8,6.62n=8,6.94n=8,6.90n=8,6.99n=8
66,67,🇩🇪,Paul Fentz,0,2,0,1,1,202.13n=3,98.32n=3,97.19n=3,106.27n=3,6.54n=33,3.19n=21,3.25n=7,3.87n=3,7.24n=6,6.79n=6,6.89n=6,7.06n=6,7.12n=6
67,68,🇷🇺,Fedor Zonov,1,0,0,0,0,201.28n=1,90.55n=1,100.60n=1,101.68n=1,6.67n=10,4.32n=6,3.98n=2,-n=0,6.62n=2,6.44n=2,6.72n=2,6.77n=2,6.91n=2
